method,k,epsilon,MSE,SSIM,n
DP-Pix-b2,,0.1,16056.329438,0.012383,400
DP-Pix-b2,,0.3,11711.850449,0.031860,400
DP-Pix-b2,,0.5,8737.276891,0.053719,400
DP-Pix-b2,,0.7,6666.835282,0.077493,400
DP-Pix-b2,,1.0,4615.342291,0.115778,400
DP-Pix-b2,,3.0,929.871407,0.363735,400
DP-Pix-b2,,5.0,414.564961,0.528952,400
DP-Pix-b4,,0.1,10216.958267,0.039363,400
DP-Pix-b4,,0.3,3861.687680,0.129718,400
DP-Pix-b4,,0.5,1940.011019,0.222693,400
DP-Pix-b4,,0.7,1192.888419,0.302190,400
DP-Pix-b4,,1.0,733.888283,0.393806,400
DP-Pix-b4,,3.0,301.288110,0.618503,400
DP-Pix-b4,,5.0,265.249274,0.667914,400
DP-Pix-b8,,0.1,2921.187273,0.172630,400
DP-Pix-b8,,0.3,832.836057,0.338990,400
DP-Pix-b8,,0.5,610.361722,0.397865,400
DP-Pix-b8,,0.7,549.480091,0.423541,400
DP-Pix-b8,,1.0,516.349009,0.440545,400
DP-Pix-b8,,3.0,488.242935,0.459753,400
DP-Pix-b8,,5.0,486.026026,0.461587,400
DP-Pix-b16,,0.1,1088.193916,0.291161,400
DP-Pix-b16,,0.3,908.124656,0.312218,400
DP-Pix-b16,,0.5,893.737117,0.314496,400
DP-Pix-b16,,0.7,890.132901,0.315128,400
DP-Pix-b16,,1.0,888.020554,0.315334,400
DP-Pix-b16,,3.0,886.259453,0.315632,400
DP-Pix-b16,,5.0,886.122326,0.315677,400
LP-Blur,15,1.0,247.307566,0.685142,400
LP-Blur,45,0.1,656.042738,0.434731,400
LP-Blur,45,0.3,653.165089,0.441754,400
LP-Blur,45,0.5,652.924754,0.442338,400
LP-Blur,45,0.7,652.864820,0.442488,400
LP-Blur,45,1.0,652.826782,0.442572,400
LP-Blur,45,3.0,652.797027,0.442644,400
LP-Blur,45,5.0,652.790795,0.442657,400
LP-Blur,99,1.0,1230.027344,0.335584,400
DP-Blur-Split,15,1.0,18942.338920,0.003093,400
DP-Blur-Split,45,0.1,18975.815479,0.003042,400
DP-Blur-Split,45,0.3,18975.076118,0.003044,400
DP-Blur-Split,45,0.5,18974.342113,0.003044,400
DP-Blur-Split,45,0.7,18973.591369,0.003045,400
DP-Blur-Split,45,1.0,18972.451305,0.003046,400
DP-Blur-Split,45,3.0,18965.513059,0.003051,400
DP-Blur-Split,45,5.0,18958.716578,0.003055,400
DP-Blur-Split,99,1.0,18975.445654,0.003043,400
